,R1,R2,R3,,,
0 hours,0.0009000003338,0,0.001200001687,,,
0.5 hours,0.0005999989808,0.0001999996603,-0.0005999989808,,,
1 hour,0.0003999993205,0.0009999983013,0,,,
1.5 hours,0.001499999315,-0.001699998975,-0.002000000328,,,
2 hours,0.000799998641,0.004999998957,0.0005999989808,,,
2.5 hours,0.002599999309,-0.002399999648,0.002100002021,,,
3 hours,0.01249999925,0.0111999996,0.007300000638,,,
3.5 hours,0.005199998617,0.009899999946,0.01350000128,,,
4 hours,0.01819999889,0.02180000022,0.03010000288,,,
4.5 hours,0.02259999886,0.04750000313,0.05690000206,,,
5 hours,0.06749999896,0.1094999947,0.1240999997,,,
5.5 hours,0.1050000004,0.1351999976,0.1468999982,,,
6 hours,0.1893999986,0.2294999994,0.2437000126,,,
6.5 hours,0.2181000076,0.246899996,0.2505999953,,,
7 hours,0.2452000044,0.2818000056,0.2733999938,,,
7.5 hours,0.2648999952,0.3102999963,0.2780999988,,,
8 hours,0.3018000089,0.3585000075,0.3656000048,,,
8.5 hours,0.337599989,0.3459999897,0.3548000008,,,
9 hours,0.3580000065,0.3953000046,0.3863999993,,,
9.5hours,0.3887999915,0.4057000019,0.4039999992,,,
10 hours,0.4101000093,0.4305000044,0.4261000007,,,
10.5 hours,0.4302999936,0.4341000058,0.4394000024,,,
11 hours,0.449400004,0.4483000077,0.4570999891,,,
11.5 hours,0.4680000208,0.463799987,0.476399973,,,
23 hours,0.8631,0.9021,0.963,,,
